sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
4831,3.325,33250,release,1,Sensor,666,1611,vehicle_sensor_cpu
4832,3.325,33250,start,1,Sensor,666,1611,vehicle_sensor_cpu
4833,3.3256,33256,finish,1,Sensor,666,1611,vehicle_sensor_cpu
4834,3.33,33300,release,1,Sensor,667,1612,vehicle_sensor_cpu
4835,3.33,33300,release,2,Estimator,334,1613,cloud_cpu_1
4836,3.33,33300,release,6,Actuator,112,1614,vehicle_actuator_cpu
4837,3.33,33300,start,1,Sensor,667,1612,vehicle_sensor_cpu
4838,3.33,33300,start,2,Estimator,334,1613,cloud_cpu_1
4839,3.33,33300,start,6,Actuator,112,1614,vehicle_actuator_cpu
4840,3.3305,33305,finish,6,Actuator,112,1614,vehicle_actuator_cpu
4841,3.3306,33306,finish,1,Sensor,667,1612,vehicle_sensor_cpu
4842,3.3309,33309,finish,2,Estimator,334,1613,cloud_cpu_1
4843,3.335,33350,release,1,Sensor,668,1615,vehicle_sensor_cpu
4844,3.335,33350,start,1,Sensor,668,1615,vehicle_sensor_cpu
4845,3.3356,33356,finish,1,Sensor,668,1615,vehicle_sensor_cpu
4846,3.34,33400,release,1,Sensor,669,1616,vehicle_sensor_cpu
4847,3.34,33400,release,2,Estimator,335,1617,cloud_cpu_1
4848,3.34,33400,release,3,Controller,168,1618,cloud_cpu_1
4849,3.34,33400,release,4,Feedforward,168,1619,cloud_cpu_1
4850,3.34,33400,release,5,Merger,168,1620,cloud_cpu_1
4851,3.34,33400,start,1,Sensor,669,1616,vehicle_sensor_cpu
4852,3.34,33400,start,2,Estimator,335,1617,cloud_cpu_1
4853,3.3406,33406,finish,1,Sensor,669,1616,vehicle_sensor_cpu
4854,3.3409,33409,finish,2,Estimator,335,1617,cloud_cpu_1
4855,3.3409,33409,start,3,Controller,168,1618,cloud_cpu_1
4856,3.3412,33412,finish,3,Controller,168,1618,cloud_cpu_1
4857,3.3412,33412,start,4,Feedforward,168,1619,cloud_cpu_1
4858,3.3424,33424,finish,4,Feedforward,168,1619,cloud_cpu_1
